unknown,tôi không biết,a,tôi không biết
ask_when,  Một lượng lớn cán bộ của Bộ môn Tin học – Đại học Tổng hợp Hà Nội được điều động sang công tác tại khoa Công nghệ Thông tin – Đại học Tổng hợp Hà Nội vào năm nào, b, Các cán bộ của bộ môn tin học được chuyển sang khoa Công nghệ Thông tin năm 1995
ask_when, Đại học Đông Dương được thành lập vào thời gian nào, b, Đại học Đông Dương được thành lập vào 16/05/1906
ask_when, Khóa đầu tiên của Trường Đại học Quốc gia Việt Nam được khai giảng vào, b, Đại học Quốc gia Việt Nam khai giảng khóa đầu tiên vào 15/11/1945
ask_when,  Đại học quốc gia Hà Nội được thành lập chính thức vào thời gian nào, b, ĐHQGHN được thành lập vào 10/12/1993
ask_when,  Đại học quốc gia được thành lập vào năm nào, b, ĐHQGHN được thành lập vào 10/12/1993
ask_when, Trường Đại học Sư phạm tách khỏi cơ cấu tổ chức  Đại học quốc gia Hà Nội năm nào, b, Đại học Sư phạm tách khỏi ĐHQGHN năm 2000
ask_when, Thủ tướng Chính phủ Phan Văn Khải đã chính thức động thổ xây dựng  Đại học quốc gia Hà Nội vào thời gian nào, b, Thủ tướng Phan Văn Khải động thổ xây dựng ĐHQGHN vào 20/12/2003
ask_when, Viện Việt Nam học và Khoa học phát triển trực thuộc  Đại học quốc gia Hà Nội được thành lập vào thời gian nào, b, Viện Việt Nam học và khoa học phát triển thành lập vào 19/3/2004
ask_when, Chủ tịch Hồ Chí Minh về thăm trường Đại học Tổng hợp Hà Nội lần đầu tiên vào thời gian nào, b, Chủ tịch Hồ Chí Minh về thăm trường lần đầu vào 23/5/1957
ask_when, Chủ tịch Hồ Chí Minh về thăm Đại học Tổng hợp Hà Nội lần thứ hai vào năm nào, b, Chủ tịch Hồ Chí Minh về thăm Đại học Tổng Hợp lần thứ 2 vào 1959
ask_when, Trung tâm Nghiên cứu Tài nguyên và Môi trường CRES được thành lập vào thời gian nào, b, Trung tâm Tài nguyên và Môi trường được thành lập vào 15/11/1985
ask_when, Đại học Tổng hợp Hà Nội được thành lập thời gian nào, b, 4/6/1956
ask_when, Trường Đại học Tổng hợp Hà Nội được Chính phủ tặng thưởng Huân chương Lao động hạng III vào năm nào, b, Đại học Tổng Hợp Hà Nội được tặng huân chương hạng III vào năm 1965 
ask_when, Trường Đại học Tổng hợp Hà Nội lập thêm khoa Địa lý – Địa chất vào năm nào, b, Khoa địa lý- địa chất được thành lập vào năm 1966
ask_when, Khoa Triết học thuộc Đại học Tổng hợp Hà Nội được thành lập năm nào, b, Khoa triết học được thành lặp năm 1975
ask_when, Khoa Pháp lý thuộc Đại học Tổng hợp Hà Nội được thành lập năm nào, b, Khoa Pháp lý được thành lập năm 1975
ask_when, Trường Đại học Tổng hợp Hà Nội bắt đầu đào tạo nghiên cứu sinh vào năm nào, b, Khóa nghiên cứu sinh đầu tiên của Đại học Tổng hợp Hà Nội vào năm 1977
ask_when, Trường Đại học Tổng hợp Hà Nội đón nhận Huân chương Lao động hạng Nhất vào dịp nào, b, Kỉ niệm 25 năm ngày thành lập
ask_when, Khoa Vật lý Hạt nhân thuộc Đại học Tổng hợp Hà Nội được thành lập vào năm nào, b, Khoa vật lý hạt nhân được thành lập năm 1978
ask_when, Trường Đại học Tổng hợp Hà Nội đón nhận Huân chương Độc lập hạng Ba vào dịp nào, b, Kỉ niệm 30 năm ngày thành lập
ask_when, Khoa Nâng cao Trình độ – Đại học Tổng hợp Hà Nội được thành lập vào năm nào, b, Khoa Nâng cao trình độ Đại học Tổng hợp được thành lập năm 1983
ask_when, Viện Tin học – Điện tử thuộc Đại học Tổng hợp Hà Nội được thành lập vào năm nào, b, Viện Tin học – Điện tử thuộc Đại học Tổng hợp Hà Nội được thành lập năm 1989
ask_when, Trung tâm Mác – Lênin thuộc Đại học Tổng hợp Hà Nội được thành lập vào năm nào, b, Trung tâm Mác – Lênin được thành lập năm 1988
ask_when, Đại học Tổng hợp Hà Nội chính thức mở lại chuyên ngành Ngữ văn Trung Quốc vào thời gian nào, b, Tháng 9/1990 chuyên ngành Ngữ văn Trung quốc được mở trở lại
ask_when, Khoa Báo chí – Trường Đại học Tổng hợp Hà Nội chính thức đi vào hoạt động từ năm nào, b, Khoa báo chí chính thức hoạt động vào năm 1990
ask_when, Tạp chí khoa học – Đại học Tổng hợp Hà Nội được Bộ Văn hóa cấp phép hoạt động vào thời gian nào, b, Tạp chí khoa học- Đại học tổng hợp được cấp phép hoạt động vào ngày 20/2/1985.
ask_when, Trường Đại học Tổng hợp Hà Nội thành lập thêm khoa Xã hội học – Tâm lý học vào năm nào, b, khoa Xã hội học – Tâm lý học được thành lập năm 1992.
ask_when, Năm học nào được gọi là  năm giáo trình  của Đại học Tổng hợp, b, 1992–1993 được gọi là năm giáo trình.
ask_when, Khoa trực thuộc đầu tiên của  Đại học quốc gia Hà Nội được thành lập vào năm nào, b, Khoa trực thuộc đầu tiên được thành lập vào năm 1995 .
ask_when, Khoa Sau đại học –  Đại học quốc gia Hà Nội chính thức ra đời vào thời gian nào, b, Khoa sau đại học chính thức ra đời vào ngày 20/5/2002.
ask_when, Viện Công nghệ thông tin –  Đại học quốc gia Hà Nội được thành lập vào thời gian nào, b, Viện công nghệ thông tin - ĐHQGHN được thành lập vào Tháng 2/2001.
ask_when, Nội quy của Đại học Đông Dương tiền thân  Đại học quốc gia Hà Nội được ban hành vào thời gian nào, b, nội quy đại học Đông Dương được bạn hành lần đầu vào 12/10/1907.
ask_when, Trường Đại học Sư phạm Ngoại ngữ Hà Nội được phát triển trên cơ sở Khoa Ngoại ngữ của trường Đại học Sư phạm Hà Nội vào năm nào, b, Năm 1967 trường Đại học Sư phạm Ngoại ngữ được thành lập
ask_when, Thủ tướng chính phủ Phan Văn Khải đã chính thức động thổ xây dựng  Đại học quốc gia Hà Nội tại Hòa Lạc vào thời gian nào, b, Năm 2003  thủ tướng Phan Văn Khải chính thức động thổ xây dựng ĐHQGHN
ask_when, Viện Việt Nam học và Khoa học phát triển –  Đại học quốc gia Hà Nội được chính thức thành lâp năm nào, b, Viện Việt Nam học và Khoa học phát triển – ĐHQGHN thành lập năm 2004
ask_when, Thủ tướng Chính phủ đã ký Quyết định thành lập Viện Trần Nhân Tông vào thời gian nào, b, Viện Trần Nhân Tông được thành lập vào 01/09/2016
ask_when, Thủ tướng chính phủ ký quyết định thành lập Viện Tài nguyên và Môi trường trên cơ sở nâng cấp Trung tâm Nghiên cứu Tài nguyên và Môi trường vào thời gian nào, b, Viện Tài nguyên và Môi Trường được thành lập 17/11/2016
ask_when, Trường Luật và Pháp chính trực thuộc Đại học Đông Dương được thành lập năm nào, b, Trường Luật và Pháp chính  ra đời năm 1897
ask_when, Trường Cao đẳng Y khoa trở thành một thành viên của Đại học Đông Dương vào năm nào, b, Trường Cao đẳng Y khoa trở thành thành viên của Đại học Đông Dương năm 1906
ask_when, Trường Cao đẳng Y khoa thuộc Đại học Đông Dương được xây dựng trên cơ sở trường Trung cấp Y khoa Hà Nội vào năm nào, b, Trường Cao đẳng Y khoa ra đời năm 1902
ask_when, Chương trình đào tạo Thạc sĩ Biến đổi khí hậu của Khoa Các khoa học liên ngành –  Đại học quốc gia Hà Nội được đưa vào đào tạo khi nào, b, Chương trình đào tạo Thạc sĩ Biến đổi khí hậu được đưa vào đào tạo Năm 2011
ask_when, Chương trình đào tạo Thạc sĩ Khoa học bền vững của Khoa Các khoa học liên ngành –  Đại học quốc gia Hà Nội được đưa vào đào tạo khi nào, b, Chương trình đào tạo Thạc sĩ Khoa học bền vững được đưa vào đào tạo Năm 2014
ask_when, Bệnh viện  Đại học quốc gia Hà Nội được thành lập vào thời gian nào, b, Năm 2011 Bệnh viện ĐHQGHN được thành lập.
ask_when, Bệnh viện  Đại học quốc gia Hà Nội trực thuộc  Đại học quốc gia Hà Nội được thành lập vào năm nào, b, Bệnh viện ĐHQGHN được thành lập năm 2011
