unknown,không biết,a,tôi không biết bạn có thể đặt câu hỏi chi tiết hơn khônggiam
ask_number, Tính đến năm 2000   Đại học quốc gia Hà Nội có bao nhiêu trường đại học thành viên, b, ĐHQGHN có 5 trường thành viên tính đến năm 2000
ask_number, Tính đến năm 2000   Đại học quốc gia Hà Nội có bao nhiêu viện nghiên cứu, b, ĐHQGHN có 1 viện nghiên cứu tính đến năm 2000
ask_number, Theo Quyết định số 14/2001/QĐ–TTg   Đại học quốc gia Hà Nội có mấy trường đại học thành viên, b, ĐHQGHN có 3 trường thành viên.
ask_number, Tính đến năm 2018   Đại học quốc gia Hà Nội gồm bao nhiêu trường đại học thành viên, b, ĐHQGHN có 7 trường thành viên vào năm 2018
ask_number, Tính đến năm 2018   Đại học quốc gia Hà Nội có bao nhiêu khoa trực thuộc, b, ĐHQGHN có 5 khoa trực thuộc vào năm 2018
ask_number, Tính đến năm 2018   Đại học quốc gia Hà Nội có bao nhiêu trung tâm đào tạo, b, có 2 trung tâm đào tạo vào năm 2018
ask_number, Tính đến năm 2018   Đại học quốc gia Hà Nội có bao nhiêu viện NCKH, b, Có 7 viện NCKH vào năm 2018
ask_number, Tính đến năm 2011   Đại học quốc gia Hà Nội có bao nhiêu trường đại học thành viên, b, Có 6 trường thành viên vào năm 2011
ask_number, Tính đến năm 2011   Đại học quốc gia Hà Nội có bao nhiêu Viện nghiên cứu thành viên, b, Có 3 Viện nghiên cứu thành viên vào năm 2011
ask_number, Tính đến năm 2011   Đại học quốc gia Hà Nội có bao nhiêu Khoa đào tạo trực thuộc, b, Có 5 Khoa đào tạo vào năm 2011
ask_number, Mặc dù mới được thành lập nhưng từ năm 1956 – 1959  trường Đại học Tổng hợp đã biên soạn được bao nhiêu giáo trình mới, b, 30
ask_number, Đến năm 1965  trong hoàn cảnh chiến tranh và khó khăn  hệ thống đào tạo trường Đại học Tổng hợp đã có bao nhiêu giáo trình cơ sở và chuyên đề, b, 202
ask_number, Đến năm 1965  Đại học Tổng hợp đã có bao nhiêu cán bộ giảng dạy, b, 315
ask_number, Đến năm 1965  Đại học Tổng hợp đã có bao nhiêu cán bộ giảng dạy có trình độ Tiến sĩ và Phó tiến sĩ, b, 30
ask_number, Trong năm học 1975 –1976  có bao nhiêu tập thể lớp tại Đại học Tổng hợp Hà Nội được Thành đoàn Hà Nội công nhận danh hiệu tập thể sinh viên XHCN, b, 7
ask_number, Những năm học đầu tiên  Trường Đại học Tổng hợp Hà Nội chia các lĩnh vực đào tạo chuyên môn thành bao nhiêu ban, b, 2
ask_number, Trong ngày đầu khai giảng  trường Đại học Tổng hợp Hà Nội có bao nhiêu sinh viên tựu trường, b, Ngày đầu khai giảng có hơn 400 sinh viên về tựu trường
ask_number, Ngày đầu mới thành lập  Đại học Tổng hợp Hà Nội có bao nhiêu cán bộ giảng dạy, b, Tất cả có 43 cán bộ giảng dạy khi Đại Học Tổng hợp mới thành lập.
