unknown,không biết,a,tôi không biết
ask_who, Giám đốc và các Phó Giám đốc  Đại học quốc gia Hà Nội do ai bổ nhiệm  miễn nhiệm, b, Thủ tướng Chính phủ
ask_who, Khai giảng khóa đầu tiên của Đại học Quốc gia Việt Nam dưới sự chủ tọa của ai, b, Chủ tịch Hồ Chí Minh
ask_who, Ngày 20/12/2003  ai là người đã chính thức động thổ xây dựng  Đại học quốc gia Hà Nội, b, Thủ tướng Chính phủ Phan Văn Khải
ask_who, Ai là người ký sắc lệnh thành lập Đại học Quốc gia Việt Nam – nay là Đại học Quốc gia Hà Nội , b, Chủ tịch Hồ Chính Minh đã kí sắc lệnh thành lập Đại học Quốc gia Việt Nam
ask_who, Ai đã kí quyết định thành lập Đại học Tổng hợp Hà Nội, b, Thủ tướng Chính phủ
ask_who, Hiệu trưởng đầu tiên của Đại học Tổng hợp Hà Nội là ai, b, GS Ngụy Như Kon Tum là hiệu trưởng đầu tiên trường Đại học Tổng hợp Hà Nội
ask_who, Ai là người đã ký Quyết định thành lập Viện Trần Nhân Tông vào ngày 01/09/2016, b, Thủ tướng Chính Phủ đã kí quyết định thành lập viện Trần Nhân Tông
ask_who, Bệnh viện  Đại học quốc gia Hà Nội được thành lập theo quyết định của ai, b, Giám đốc ĐHQGHN
ask_who, Thủ tướng Chính phủ Nước Việt Nam Dân chủ Cộng hòa nguời mà đã ký Quyết định số 128/CP ngày 14/8/1967 chia trường Đại học Sư phạm Hà Nội thành 3 trường Đại học Sư phạm thuộc Bộ Giáo dục là ai, b, Thủ tướng Phan Văn Khải đã kí quyết định chia Đại học Sư phạm thành 3 trường Đại học Sư phạm
ask_who, Trưởng Ban Đào tạo của  Đại học quốc gia Hà Nội hiện này là ai, b, GS.TSKH. Nguyễn Đình Đức là trưởng ban đào tạo của ĐHQGHN
ask_who, Ai là người đã ký Quyết định số 2068/QĐ-TTg ngày 21/12/2017 về việc chuyển giao chủ Dự án Xây dựng  Đại học quốc gia Hà Nội tại Hòa Lạc từ Bộ Xây dựng sang  Đại học quốc gia Hà Nội, b, Thủ tướng Chính phủ
ask_who, Ai là người đầu tiên đề xuất việc thành lập các lớp đào tạo học sinh năng khiếu hiện nay là 02 Trường Trung học Phổ thông chuyên , b, Cố Thủ tướng Phạm Văn Đồng
ask_who, Bài hát truyền thống của  Đại học quốc gia Hà Nội do ai sáng tác, b, Nhạc sĩ Hoàng Vân sáng tác ra bài hát truyền thống của ĐHQGHN
ask_who, Nguồn nhân lực thực hiện các hoạt động nghiên cứu Khoa học công nghệ ở  Đại học quốc gia Hà Nội không chỉ có nghiên cứu viên mà bao gồm, b, Các giảng viên  Nghiên cứu sinh  Học viên cao học và sinh viên đại học
ask_who, Giám đốc  Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Kim Sơn hiện đang làm giám đốc ĐHQGHN
ask_who, Nguyên Phó Giám đốc Đại học Quốc gia Hà Nội hiện đang giữ chức Thứ trưởng Bộ Lao động Thương binh và Xã hội là ai, b, Lê Quân hiện đang là thứ trưởng bộ lao động thương binh và xã hội.
ask_who, Bí thư Đảng ủy  Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Kim Sơn hiện đang làm bí thư đảng ủy của ĐHQGHN
ask_who, Tứ trụ của ngành sử học Việt Nam đương đại gồm những ai, b, GS. Đinh Xuân Lâm  GS. Phan Huy Lê  GS. Hà Văn Tấn  GS. Trần Quốc Vượng.
ask_who, Hiện nay  ai là Hiệu trưởng Trường Đại học Khoa học Xã hội và Nhân văn, b, GS.TS. Phạm Quang Minh hiện đang làm hiệu trưởng trường Đại học Khoa Học Xã hội và Nhân văn.
ask_who, Chủ tịch Công đoàn  Đại học quốc gia Hà Nội hiện nay là ai, b, Đinh Văn Hường hiện đang là chủ tịch công đoàn ĐHQGHN
ask_who, Ai hiện đang chức Chủ tịch Hội đồng Đảm bảo chất lượng  Đại học quốc gia Hà Nội, b, Mai Trọng Nhuận hiện đang là chủ tịch hội đồng đảm bảo chất lượng ĐHQGHN
ask_who, Nữ Phó Giáo sư trẻ nhất năm 2016 là một giảng viên của  Đại học quốc gia Hà Nội  cô là ai, b, Bùi Thị Hồng Thái là nữ Phó giáo sư trẻ nhất ĐHQGHN năm 2016 
ask_who, Giáo sư trẻ nhất năm 2006 là một giảng viên của  Đại học quốc gia Hà Nội  là ai, b, GS.TS Nguyễn Hữu Dư là giáo sư trẻ nhất ĐHQGHN năm 2006
ask_who, Hiện nay  ai đang giữ chức Chủ tịch Hội đồng Khoa học và Đào tạo  Đại học quốc gia Hà Nội, b, Vũ Minh Giang hiện đang là chủ tịch hội đông Khoa học và đào tạo ĐHQGHN
ask_who, Hiệu trưởng Trường Đại học Ngoại ngữ   Đại học quốc gia Hà Nội hiện nay là ai, b, Đỗ Tuấn Minh đang là hiệu trưởng Trường Đại học Ngoại Ngữ.
ask_who, Hiệu trưởng Trường Đại học Công nghệ   Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Việt Hà đang là hiệu trưởng Trường Đại học Công Nghệ.
ask_who, Hiệu trưởng Trường Đại học Kinh tế   Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Trúc Lê đang là hiệu trưởng Trường Đại học Kinh Tế.
ask_who, Hiệu trưởng Trường Đại học Giáo dục   Đại học quốc gia Hà Nội hiện nay là ai, b, Nguyễn Quý Thanh đang là hiệu trưởng Trường Đại học Giáo Dục
ask_who, Viện trưởng Viện Trần Nhân Tông   Đại học quốc gia Hà Nội hiện nay là ai, b, PGS.TS Nguyễn Kim Sơn đang là viện trưởng Viện Trần Nhân Tông  ĐHQGHN
ask_who, Viện trưởng Viện Công nghệ Thông tin   Đại học quốc gia Hà Nội hiện nay là ai, b, PGS.TS. Đỗ Toàn Năng đang là viện trưởng viện Công nghệ thông tin  ĐHQGHN
