intent,q,noisyq,a
unknown,idk,a,Xin lỗi mình chưa nghe rõ bạn có thể nói lại được không
unknown,idk,a,bạn có thể đặt câu hỏi chi tiết hơn không
ask_where, trụ sở của đại học đông dương ở đâu, b, số 19 phố lê thánh tông  quận hoàn kiếm  thành phố hà nội
ask_where, trụ sở của đại học quốc gia việt nam ở đâu, b, số 19 phố lê thánh tông  quận hoàn kiếm  thành phố hà nội
ask_where, đại học quốc gia việt nam ở đâu, b, số 19 phố lê thánh tông  quận hoàn kiếm  thành phố hà nội
ask_where, đại học quốc gia hà nội ở đâu, b, số 144 xuân thủy cầu giấy thành phố hà nội
ask_where, đại học quốc gia ở đâu, b, số 144 xuân thủy cầu giấy thành phố hà nội
ask_where, ngày 20/12/2003  thủ tướng chính phủ phan văn khải đã chính thức động thổ xây dựng  đại học quốc gia hà nội tại đâu, b, xã thạch hòa  huyện thạch thất  hà nội
ask_where, khoa các khoa học liên ngành –  đại học quốc gia hà nội có địa chỉ tại, b, 144 xuân thuỷ  cầu giấy  hà nội
ask_where, trụ sở bệnh viện  đại học quốc gia hà nội nằm ở đâu, b, 182  đường lương thế vinh  quận thanh xuân  thành phố hà nội
ask_where, thực hiện chủ trương của  đại học quốc gia hà nội về chuyên môn hóa các đơn vị đào tạo  bộ môn giáo dục thể chất được chuyển về đâu, b, trung tâm giáo dục thể chất và thể thao trực thuộc đhqghn
ask_where, đại học quốc gia hà nội là một trong hai hệ thống đại học quốc gia của việt nam được đặt tại đâu, b, được đặt tại hà nội.
ask_where, lễ ra quân chiến dịch mùa hè thanh niên tình nguyện 2017 do đoàn thanh niên - hội sinh viên  đại học quốc gia hà nội được tổ chức tại đâu, b, huyện chợ mới  tỉnh bắc kạn
ask_where, sinh viên  đại học quốc gia hà nội học giáo dục an ninh - quốc phòng ở đâu , b, khu quân sự hòa lạc
ask_where, trụ sở của đại học công nghệ ở đâu, b, ở số 144 xuân thủy cầu giấy.
ask_where, trụ sở của đại học ngoại ngữ ở đâu, b, ở số 144 xuân thủy cầu giấy.
ask_where, trụ sở của đại học kinh tế ở đâu, b, ở số 144 xuân thủy cầu giấy.
ask_where, trụ sở của đại học giáo dục ở đâu, b, ở số 144 xuân thủy cầu giấy.
ask_where, trụ sở của trường đại học luật ở đâu, b, ở số 144 xuân thủy cầu giấy.
ask_where, trụ sở của đại học khoa học tự nhiên ở đâu, b, ở số 334 nguyễn trãi thanh xuân trung thanh xuân hà nội
ask_where, trụ sở của đại học khoa học xã hội và nhân văn ở đâu, b, ở số 336 nguyễn trãi thanh xuân trung thanh xuân hà nội
