intent,q,noisyq,a
unknown,idk,a,sorry but i have not heard what you said can you repeat
unknown,idk,a,oh i think my data do not allowed me to answer this question
command_lead_way, formation process,a,1
command_lead_way, indochina university formation,a,1
command_lead_way, vietnam national university development process,a,2
command_lead_way, vietnam national University during the years of the resistance war,a,2
command_lead_way, national university established,a,3
command_lead_way, the establishment of a national university,a,3
command_lead_way, national university directors and deputy directors,a,4
command_lead_way, leaders of the national university,a,4
command_lead_way, the party's interest is for the national university,a,5
command_lead_way, national university is the big star,a,6
command_lead_way, national university imprints,a,6
command_lead_way, national university features,a,7
command_lead_way, outstanding achievements of the national university,a,8
command_lead_way, The trust of international friends for national universities,a,9
command_lead_way, international partners of the national university,a,9
command_lead_way, national university awards, a, 10
command_lead_way, national university awards, a, 10
command_lead_way, national honorary doctorate, a, 11
command_lead_way, national university international status, a, 11
command_lead_way, number one, a, 1
command_lead_way, number two, a, 2
command_lead_way, number three, a, 3
command_lead_way, number four, a, 4
command_lead_way, number of years, a, 5
command_lead_way, number six, a, 6
command_lead_way, number seven, a, 7
command_lead_way, number eight, a, 8
command_lead_way, number nine, a, 9
command_lead_way, number ten, a, 10
command_lead_way, number eleven, a, 11
command_lead_way, go around, a, all
command_lead_way, go around, a, all
command_lead_way, whole, a, all
command_lead_way, one turn, a, all
command_lead_way, all, a, all
command_lead_way, listen all, a, all
command_lead_way, listen in its entirety, a, all
command_lead_way, overall, a, all
command_lead_way, all, a, all
command_lead_way, first, a, 1
command_lead_way, finally, a, 11
command_lead_way, number 1, a, 1
command_lead_way, number 2, a, 2
command_lead_way, number 3, a, 3
command_lead_way, number 4, a, 4
command_lead_way, number 5, a, 5
command_lead_way, number 6, a, 6
command_lead_way, number 7, a, 7
command_lead_way, number 8, a, 8
command_lead_way, number 9, a, 9
command_lead_way, number 10, a, 10
command_lead_way, number 11, a, 11
